,insertion_sort,bubble_sort,selection_sort,comb_sort,enhanced_cocktail_sort,quicksort,input_control,param_1_length,quicksortRecursionError
681,1.5964407920837402,4.191126346588135,1.1613097190856934,0.028146982192993164,3.8510396480560303,0.012829065322875977,random,7000,
682,3.232825756072998,1.7826533317565918,1.1768560409545898,0.012128829956054688,0.00044798851013183594,1.076202392578125,sorted,7000,1.0
683,0.01084136962890625,6.123349666595459,1.1866185665130615,0.01611638069152832,6.406266927719116,0.809349775314331,reverse,7000,1.0
684,1.7007625102996826,4.243077754974365,1.1897892951965332,0.02492523193359375,3.8557353019714355,0.014073848724365234,random,7000,
685,3.2614407539367676,1.7012476921081543,1.161160945892334,0.012662172317504883,0.0005636215209960938,1.2610342502593994,sorted,7000,1.0
686,0.010899782180786133,6.426822662353516,1.1857523918151855,0.01533365249633789,6.480924367904663,0.8058257102966309,reverse,7000,1.0
687,1.6374731063842773,4.174304008483887,1.1618974208831787,0.02360057830810547,3.675387382507324,0.014596700668334961,random,7000,
688,3.373013973236084,1.5395240783691406,1.0546388626098633,0.011964082717895508,0.0004506111145019531,1.08555269241333,sorted,7000,1.0
689,0.010742664337158203,5.92387580871582,1.1123642921447754,0.014833927154541016,6.1453773975372314,0.7429168224334717,reverse,7000,1.0
690,1.5900437831878662,3.9252233505249023,1.109663486480713,0.02275991439819336,3.5251777172088623,0.011955499649047852,random,7000,
691,3.1148762702941895,1.5300071239471436,1.0551791191101074,0.011777400970458984,0.00045561790466308594,1.046804666519165,sorted,7000,1.0
692,0.010854244232177734,5.850454330444336,1.1018528938293457,0.015218019485473633,5.986961126327515,0.7185752391815186,reverse,7000,1.0
693,1.5208890438079834,3.779184103012085,1.0274453163146973,0.021033525466918945,3.4635961055755615,0.012468099594116211,random,7000,
694,3.082174301147461,1.5201632976531982,1.0363004207611084,0.011643171310424805,0.0004436969757080078,1.0222094058990479,sorted,7000,1.0
695,0.01071619987487793,5.843063116073608,1.1064348220825195,0.01462244987487793,5.995369911193848,0.7882027626037598,reverse,7000,1.0
696,1.6144378185272217,3.777540683746338,1.024794101715088,0.021358728408813477,3.452105760574341,0.012434720993041992,random,7000,
697,3.0705671310424805,1.504563331604004,1.027259111404419,0.011605262756347656,0.00044345855712890625,1.0253260135650635,sorted,7000,1.0
698,0.010761499404907227,5.829863786697388,1.1012399196624756,0.01507568359375,5.99514627456665,0.7243282794952393,reverse,7000,1.0
699,1.5818102359771729,3.9393043518066406,1.0609359741210938,0.021618127822875977,3.5952117443084717,0.011770486831665039,random,7000,
700,1.9837825298309326,4.956894636154175,1.3430829048156738,0.02679896354675293,4.5376365184783936,0.013482332229614258,random,8000,
701,4.011701822280884,1.9673781394958496,1.348773717880249,0.013349533081054688,0.0005083084106445312,1.222228765487671,sorted,8000,1.0
702,0.013802051544189453,7.637972116470337,1.4090123176574707,0.016856908798217773,7.886350154876709,0.8554239273071289,reverse,8000,1.0
703,2.1517670154571533,4.915468215942383,1.3526558876037598,0.02822566032409668,4.4623308181762695,0.013623476028442383,random,8000,
704,4.297936201095581,2.006817579269409,1.3685994148254395,0.013354778289794922,0.000522613525390625,1.201287031173706,sorted,8000,1.0
705,0.013803720474243164,7.626690626144409,1.406660556793213,0.01683831214904785,7.826295375823975,0.8330199718475342,reverse,8000,1.0
706,2.065202236175537,5.093410968780518,1.3760404586791992,0.02825760841369629,4.624264240264893,0.01396632194519043,random,8000,
707,4.055262565612793,1.969808578491211,1.3414068222045898,0.013293981552124023,0.0005071163177490234,1.3086318969726562,sorted,8000,1.0
708,0.01392054557800293,8.154833316802979,1.4110383987426758,0.016898632049560547,7.845126152038574,0.8375563621520996,reverse,8000,1.0
709,2.0055410861968994,5.116584539413452,1.357297420501709,0.027484655380249023,4.508045434951782,0.013835430145263672,random,8000,
710,4.016937732696533,2.0649592876434326,1.4101178646087646,0.014591455459594727,0.0005128383636474609,1.2401776313781738,sorted,8000,1.0
711,0.013862848281860352,7.812641620635986,1.4265542030334473,0.016826629638671875,8.09098219871521,0.8241994380950928,reverse,8000,1.0
712,2.1262593269348145,4.939405918121338,1.3395166397094727,0.026899099349975586,4.500980615615845,0.014031410217285156,random,8000,
713,4.01230788230896,1.966641902923584,1.3438231945037842,0.013308048248291016,0.0005075931549072266,1.1900863647460938,sorted,8000,1.0
714,0.013880252838134766,7.619426250457764,1.4337644577026367,0.016848325729370117,7.8260557651519775,0.8213710784912109,reverse,8000,1.0
715,1.958604335784912,4.936168909072876,1.3363440036773682,0.026186704635620117,4.477431058883667,0.01424860954284668,random,8000,
716,4.021395444869995,1.9748094081878662,1.3465502262115479,0.013348817825317383,0.0005130767822265625,1.1990885734558105,sorted,8000,1.0
717,0.01376199722290039,7.596635580062866,1.4097232818603516,0.01692938804626465,7.823834657669067,0.8654699325561523,reverse,8000,1.0
