,linear_unsorted,sentinel_unsorted,found,param_1_length,param_2_value
42,1.1920928955078125e-05,2.1696090698242188e-05,True,1000,92858
43,3.600120544433594e-05,5.6743621826171875e-05,False,1000,57091
44,8.58306884765625e-06,1.52587890625e-05,True,1000,36827
45,3.647804260253906e-05,5.745887756347656e-05,False,1000,52194
46,2.4080276489257812e-05,3.8623809814453125e-05,True,1000,80228
47,3.266334533691406e-05,5.412101745605469e-05,False,1000,87523
48,1.9550323486328125e-05,3.337860107421875e-05,True,1000,23029
49,3.218650817871094e-05,5.3882598876953125e-05,False,1000,8043
50,5.4836273193359375e-06,1.0967254638671875e-05,True,1000,24601
51,3.552436828613281e-05,5.555152893066406e-05,False,1000,64975
52,7.152557373046875e-06,1.3589859008789062e-05,True,1000,70592
53,3.266334533691406e-05,5.2928924560546875e-05,False,1000,89712
54,8.106231689453125e-06,1.5497207641601562e-05,True,1000,6497
55,3.218650817871094e-05,5.2928924560546875e-05,False,1000,89753
56,5.0067901611328125e-06,1.0013580322265625e-05,True,1000,83767
57,3.62396240234375e-05,5.650520324707031e-05,False,1000,37915
58,1.0967254638671875e-05,1.9311904907226562e-05,True,1000,42846
59,3.600120544433594e-05,5.602836608886719e-05,False,1000,58851
60,2.0265579223632812e-05,3.266334533691406e-05,True,1000,57096
61,3.1948089599609375e-05,5.364418029785156e-05,False,1000,7344
62,4.5299530029296875e-06,9.298324584960938e-06,True,1000,77812
63,3.314018249511719e-05,5.507469177246094e-05,False,1000,12862
64,1.9788742065429688e-05,3.218650817871094e-05,True,1000,67571
65,3.24249267578125e-05,5.316734313964844e-05,False,1000,87010
66,8.821487426757812e-06,1.6450881958007812e-05,True,1000,23358
67,3.528594970703125e-05,5.650520324707031e-05,False,1000,36238
68,2.0265579223632812e-05,3.409385681152344e-05,True,1000,27487
69,3.528594970703125e-05,5.745887756347656e-05,False,1000,74519
70,1.7404556274414062e-05,2.8848648071289062e-05,True,1000,66146
71,3.123283386230469e-05,5.2928924560546875e-05,False,1000,99852
72,4.5299530029296875e-06,9.298324584960938e-06,True,1000,6299
73,3.147125244140625e-05,5.316734313964844e-05,False,1000,3852
74,5.245208740234375e-06,1.049041748046875e-05,True,1000,56049
75,4.00543212890625e-05,5.602836608886719e-05,False,1000,61944
76,3.5762786865234375e-06,7.62939453125e-06,True,1000,43014
77,3.1948089599609375e-05,5.2928924560546875e-05,False,1000,90419
78,4.0531158447265625e-06,8.106231689453125e-06,True,1000,82363
79,3.600120544433594e-05,5.698204040527344e-05,False,1000,42886
80,4.291534423828125e-06,8.821487426757812e-06,True,1000,95898
81,3.1948089599609375e-05,5.316734313964844e-05,False,1000,93138
82,2.6464462280273438e-05,4.458427429199219e-05,True,1000,4363
83,3.62396240234375e-05,5.6743621826171875e-05,False,1000,51392
84,2.193450927734375e-05,3.4809112548828125e-05,True,1000,29152
85,3.4332275390625e-05,5.412101745605469e-05,False,1000,32252
86,8.58306884765625e-06,1.5735626220703125e-05,True,1000,58319
87,3.218650817871094e-05,5.2928924560546875e-05,False,1000,89962
88,2.1457672119140625e-06,4.76837158203125e-06,True,1000,53930
89,3.314018249511719e-05,5.3882598876953125e-05,False,1000,19043
90,3.147125244140625e-05,4.8160552978515625e-05,True,1000,45463
91,3.4809112548828125e-05,5.435943603515625e-05,False,1000,67106
92,1.6689300537109375e-06,4.76837158203125e-06,True,1000,35169
93,3.218650817871094e-05,5.340576171875e-05,False,1000,97729
94,2.956390380859375e-05,4.5299530029296875e-05,True,1000,45783
95,3.504753112792969e-05,5.4836273193359375e-05,False,1000,32825
96,2.3365020751953125e-05,3.719329833984375e-05,True,1000,42407
97,1.9311904907226562e-05,3.123283386230469e-05,False,1000,41371
98,1.7404556274414062e-05,2.7894973754882812e-05,True,1000,53054
99,3.457069396972656e-05,5.435943603515625e-05,False,1000,67414
100,7.104873657226562e-05,0.00010585784912109375,True,2000,39563
101,6.771087646484375e-05,0.00010728836059570312,False,2000,15404
102,5.054473876953125e-05,8.225440979003906e-05,True,2000,87935
103,6.628036499023438e-05,0.00010633468627929688,False,2000,11526
104,2.7418136596679688e-05,3.981590270996094e-05,True,2000,90567
105,7.271766662597656e-05,0.00011277198791503906,False,2000,33979
