,function,parameterLengths,seconds,lengthOfReturned,param1,param2
95,intersection,"[1000, 10000]",0.8820123672485352,112,1000,10000
96,intersection,"[1000, 10000]",0.876295804977417,91,1000,10000
97,intersection,"[1000, 10000]",0.8856935501098633,75,1000,10000
98,intersection,"[1000, 10000]",0.868898868560791,109,1000,10000
99,intersection,"[1000, 10000]",0.8766069412231445,91,1000,10000
100,intersection,"[2000, 2000]",0.4038410186767578,29,2000,2000
101,intersection,"[2000, 2000]",0.3641512393951416,39,2000,2000
102,intersection,"[2000, 2000]",0.3627281188964844,39,2000,2000
103,intersection,"[2000, 2000]",0.3648383617401123,28,2000,2000
104,intersection,"[2000, 2000]",0.36225080490112305,44,2000,2000
105,intersection,"[2000, 2000]",0.3573291301727295,66,2000,2000
106,intersection,"[2000, 2000]",0.3596677780151367,36,2000,2000
107,intersection,"[2000, 2000]",0.36303162574768066,39,2000,2000
108,intersection,"[2000, 2000]",0.3909945487976074,39,2000,2000
109,intersection,"[2000, 2000]",0.36084747314453125,42,2000,2000
110,intersection,"[2000, 3000]",0.540956974029541,65,2000,3000
111,intersection,"[2000, 3000]",0.5403652191162109,61,2000,3000
112,intersection,"[2000, 3000]",0.5422873497009277,60,2000,3000
113,intersection,"[2000, 3000]",0.5704278945922852,62,2000,3000
114,intersection,"[2000, 3000]",0.5409743785858154,52,2000,3000
115,intersection,"[2000, 3000]",0.5385112762451172,66,2000,3000
116,intersection,"[2000, 3000]",0.5403761863708496,53,2000,3000
117,intersection,"[2000, 3000]",0.5401463508605957,59,2000,3000
118,intersection,"[2000, 3000]",0.5395863056182861,48,2000,3000
119,intersection,"[2000, 3000]",0.5408778190612793,49,2000,3000
120,intersection,"[2000, 4000]",0.7189159393310547,62,2000,4000
121,intersection,"[2000, 4000]",0.7156267166137695,90,2000,4000
122,intersection,"[2000, 4000]",0.7281179428100586,74,2000,4000
123,intersection,"[2000, 4000]",0.7196979522705078,79,2000,4000
124,intersection,"[2000, 4000]",0.7136085033416748,86,2000,4000
125,intersection,"[2000, 4000]",0.7167365550994873,82,2000,4000
126,intersection,"[2000, 4000]",0.7170631885528564,75,2000,4000
127,intersection,"[2000, 4000]",0.7209663391113281,88,2000,4000
128,intersection,"[2000, 4000]",0.7154240608215332,73,2000,4000
129,intersection,"[2000, 4000]",0.7137360572814941,77,2000,4000
130,intersection,"[2000, 5000]",0.9485714435577393,81,2000,5000
131,intersection,"[2000, 5000]",0.8878903388977051,95,2000,5000
132,intersection,"[2000, 5000]",0.8920824527740479,87,2000,5000
133,intersection,"[2000, 5000]",0.8831601142883301,117,2000,5000
134,intersection,"[2000, 5000]",0.8881328105926514,111,2000,5000
135,intersection,"[2000, 5000]",0.891343355178833,96,2000,5000
136,intersection,"[2000, 5000]",0.9499409198760986,100,2000,5000
137,intersection,"[2000, 5000]",0.8911559581756592,105,2000,5000
138,intersection,"[2000, 5000]",0.888603925704956,105,2000,5000
139,intersection,"[2000, 5000]",0.8874039649963379,120,2000,5000
140,intersection,"[2000, 6000]",1.0906155109405518,115,2000,6000
141,intersection,"[2000, 6000]",1.0734381675720215,118,2000,6000
142,intersection,"[2000, 6000]",1.0687546730041504,120,2000,6000
143,intersection,"[2000, 6000]",1.078157663345337,94,2000,6000
144,intersection,"[2000, 6000]",1.0748121738433838,112,2000,6000
145,intersection,"[2000, 6000]",1.0718002319335938,136,2000,6000
146,intersection,"[2000, 6000]",1.0748381614685059,97,2000,6000
147,intersection,"[2000, 6000]",1.0691838264465332,127,2000,6000
148,intersection,"[2000, 6000]",1.078258991241455,98,2000,6000
149,intersection,"[2000, 6000]",1.0725843906402588,116,2000,6000
150,intersection,"[2000, 7000]",1.251622200012207,122,2000,7000
151,intersection,"[2000, 7000]",1.246246099472046,144,2000,7000
152,intersection,"[2000, 7000]",1.2418363094329834,137,2000,7000
153,intersection,"[2000, 7000]",1.2463207244873047,138,2000,7000
154,intersection,"[2000, 7000]",1.2402076721191406,139,2000,7000
155,intersection,"[2000, 7000]",1.2386860847473145,134,2000,7000
156,intersection,"[2000, 7000]",1.2427470684051514,129,2000,7000
157,intersection,"[2000, 7000]",1.244842290878296,123,2000,7000
