,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
443,0.0002238750457763672,2.86102294921875e-06,1.7881393432617188e-05,False,5000,98671
444,8.20159912109375e-05,3.337860107421875e-06,8.821487426757812e-06,True,5000,34226
445,0.00012564659118652344,3.0994415283203125e-06,1.049041748046875e-05,False,5000,55150
446,0.00017547607421875,2.6226043701171875e-06,1.52587890625e-05,True,5000,74718
447,0.0001666545867919922,3.337860107421875e-06,1.5497207641601562e-05,False,5000,71365
448,5.078315734863281e-05,3.0994415283203125e-06,6.4373016357421875e-06,True,5000,21735
449,5.602836608886719e-05,3.0994415283203125e-06,6.4373016357421875e-06,False,5000,24162
450,0.00020503997802734375,3.0994415283203125e-06,1.811981201171875e-05,True,5000,88797
451,0.0001995563507080078,3.337860107421875e-06,1.52587890625e-05,False,5000,85575
452,1.9073486328125e-05,2.86102294921875e-06,6.198883056640625e-06,True,5000,8955
453,9.298324584960938e-06,3.0994415283203125e-06,4.76837158203125e-06,False,5000,3324
454,4.792213439941406e-05,3.0994415283203125e-06,7.62939453125e-06,True,5000,20185
455,8.463859558105469e-05,3.0994415283203125e-06,9.059906005859375e-06,False,5000,35824
456,0.0001685619354248047,3.0994415283203125e-06,1.33514404296875e-05,True,5000,57763
457,0.0001595020294189453,3.0994415283203125e-06,1.2636184692382812e-05,False,5000,68150
458,0.00013828277587890625,2.86102294921875e-06,1.2159347534179688e-05,True,5000,56291
459,0.00016760826110839844,2.6226043701171875e-06,1.239776611328125e-05,False,5000,73682
460,0.0001513957977294922,2.6226043701171875e-06,1.1444091796875e-05,True,5000,66152
461,0.00021219253540039062,2.86102294921875e-06,1.4543533325195312e-05,False,5000,88058
462,0.00018644332885742188,2.86102294921875e-06,1.5735626220703125e-05,True,5000,77856
463,0.00013494491577148438,3.0994415283203125e-06,1.1920928955078125e-05,False,5000,57512
464,0.0001838207244873047,2.86102294921875e-06,1.2874603271484375e-05,True,5000,78606
465,2.765655517578125e-05,3.337860107421875e-06,5.9604644775390625e-06,False,5000,11960
466,3.0517578125e-05,3.5762786865234375e-06,6.198883056640625e-06,True,5000,9211
467,0.00025773048400878906,3.337860107421875e-06,1.811981201171875e-05,False,5000,87813
468,0.00015926361083984375,3.0994415283203125e-06,1.3589859008789062e-05,True,5000,67566
469,0.00015664100646972656,2.6226043701171875e-06,1.2636184692382812e-05,False,5000,63167
470,9.5367431640625e-05,3.0994415283203125e-06,9.775161743164062e-06,True,5000,32857
471,0.00017595291137695312,2.86102294921875e-06,1.1920928955078125e-05,False,5000,73748
472,0.00016355514526367188,3.337860107421875e-06,1.4066696166992188e-05,True,5000,70246
473,8.96453857421875e-05,2.6226043701171875e-06,1.0967254638671875e-05,False,5000,38424
474,1.1444091796875e-05,3.337860107421875e-06,4.76837158203125e-06,True,5000,4812
475,0.00013494491577148438,3.0994415283203125e-06,1.0728836059570312e-05,False,5000,57423
476,8.58306884765625e-05,2.6226043701171875e-06,1.0013580322265625e-05,True,5000,35196
477,4.5299530029296875e-06,3.0994415283203125e-06,3.0994415283203125e-06,False,5000,1398
478,0.00018930435180664062,2.86102294921875e-06,1.5020370483398438e-05,True,5000,79694
479,2.2411346435546875e-05,2.6226043701171875e-06,6.198883056640625e-06,False,5000,9126
480,1.7881393432617188e-05,3.0994415283203125e-06,5.0067901611328125e-06,True,5000,7190
481,5.7220458984375e-06,3.0994415283203125e-06,3.814697265625e-06,False,5000,1499
482,0.0001609325408935547,3.0994415283203125e-06,1.2636184692382812e-05,True,5000,69113
